title,year,certificate,duration,genre,rating
Cobra Kai,2018,TV-14,30 min,"Action, Comedy, Drama",8.5
The Crown,2016,TV-MA,58 min,"Biography, Drama, History",8.7
Better Call Saul,2015,TV-MA,46 min,"Crime, Drama",8.9
Devil in Ohio,2022,TV-MA,356 min,"Drama, Horror, Mystery",5.9
Cyberpunk: Edgerunners,2022,TV-MA,24 min,"Animation, Action, Adventure",8.6
The Sandman,2022,TV-MA,45 min,"Drama, Fantasy, Horror",7.8
Rick and Morty,2013,TV-MA,23 min,"Animation, Adventure, Comedy",9.2
Breaking Bad,2008,TV-MA,49 min,"Crime, Drama, Thriller",9.5
The Imperfects,2022,TV-MA,45 min,"Action, Adventure, Drama",6.3
Blonde,2022,NC-17,166 min,"Biography, Drama, Mystery",6.2
Stranger Things,2016,TV-14,51 min,"Drama, Fantasy, Horror",8.7
End of the Road,2022,R,89 min,"Action, Crime, Drama",4.7
The Walking Dead,2010,TV-MA,44 min,"Drama, Horror, Thriller",8.1
Glass Onion: A Knives Out Mystery,2022,PG-13,139 min,"Crime, Drama, Mystery",8.1
Do Revenge,2022,TV-MA,118 min,Comedy,6.4
I Came By,2022,TV-MA,110 min,Thriller,6.1
No Limit,2022,TV-MA,118 min,"Drama, Romance, Sport",5.8
1899,2022,,60 min,"Drama, History, Horror",9.6
Peaky Blinders,2013,TV-MA,60 min,"Crime, Drama",8.8
Fate: The Winx Saga,2021,TV-MA,,"Action, Adventure, Drama",6.9
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178 min,"Action, Adventure, Drama",8.8
Grey's Anatomy,2005,TV-14,41 min,"Drama, Romance",7.6
Supernatural,2005,TV-14,44 min,"Drama, Fantasy, Horror",8.4
American Horror Story,2011,TV-MA,60 min,"Drama, Horror, Sci-Fi",8
The Accidental Narco,2022,TV-MA,50 min,"Action, Biography, Crime",7.4
NCIS,2003,TV-14,60 min,"Action, Crime, Drama",7.8
Friends,1994,TV-14,22 min,"Comedy, Romance",8.9
Shameless,2011,TV-MA,46 min,"Comedy, Drama",8.6
Modern Family,2009,TV-PG,22 min,"Comedy, Drama, Romance",8.5
Ozark,2017,TV-MA,60 min,"Crime, Drama, Thriller",8.5
Echoes,2022,TV-MA,326 min,"Drama, Mystery, Thriller",5.9
The Gray Man,2022,PG-13,122 min,"Action, Thriller",6.5
Me Time,2022,R,101 min,Comedy,5
Suits,2011,TV-14,44 min,"Comedy, Drama",8.5
Vikings,2013,TV-MA,44 min,"Action, Adventure, Drama",8.5
The Witcher,2019,TV-MA,60 min,"Action, Adventure, Drama",8.2
The Blacklist,2013,TV-14,43 min,"Crime, Drama, Mystery",8
Seinfeld,1989,TV-PG,22 min,Comedy,8.9
Lucifer,2016,TV-14,42 min,"Crime, Drama, Fantasy",8.1
The Umbrella Academy,2019,TV-14,60 min,"Action, Adventure, Comedy",7.9
The Last Kingdom,2015,TV-MA,60 min,"Action, Drama, History",8.5
Partner Track,2022,TV-MA,60 min,Drama,6.8
Love in the Villa,2022,TV-14,114 min,"Comedy, Romance",5.3
Black Mirror,2011,TV-MA,60 min,"Drama, Mystery, Sci-Fi",8.8
Brooklyn Nine-Nine,2013,TV-14,22 min,"Comedy, Crime",8.4
Squid Game,2021,TV-MA,55 min,"Action, Drama, Mystery",8
Gilmore Girls,2000,TV-PG,44 min,"Comedy, Drama",8.2
Outlander,2014,TV-MA,60 min,"Drama, Fantasy, Romance",8.4
Ófærð,2015,TV-14,60 min,"Crime, Drama, Mystery",8
Never Have I Ever,2020,TV-14,30 min,"Comedy, Drama",7.9
Attack on Titan,2013,TV-MA,24 min,"Animation, Action, Adventure",9
Manifest,2018,TV-14,43 min,"Drama, Mystery, Sci-Fi",7.1
Locke & Key,2020,TV-14,48 min,"Drama, Fantasy, Horror",7.3
Day Shift,2022,R,113 min,"Action, Comedy, Fantasy",6.1
Dark,2017,TV-MA,60 min,"Crime, Drama, Mystery",8.7
Guillermo del Toro's Pinocchio,2022,,114 min,"Animation, Drama, Family",
Sex Education,2019,TV-MA,45 min,"Comedy, Drama",8.4
The Lord of the Rings: The Return of the King,-2003,PG-13,201 min,"Action, Adventure, Drama",9
The Vampire Diaries,2009,TV-14,43 min,"Drama, Fantasy, Horror",7.7
Virgin River,2019,TV-14,44 min,"Drama, Romance",7.4
Family Guy,1999,TV-MA,22 min,"Animation, Comedy",8.2
Fargo,(2014– ),TV-MA,53 min,"Crime, Drama, Thriller",8.9
Animal Kingdom,(2016–2022),TV-MA,60 min,"Crime, Drama",8.2
Diario de un Gigoló,-2022,TV-MA,50 min,Drama,6.3
How I Met Your Mother,2005,TV-14,22 min,"Comedy, Romance",8.3
The School for Good and Evil,-2022,PG-13,147 min,"Action, Drama, Fantasy",
Heartbreak High,(2022– ),TV-MA,50 min,"Drama, Romance",7.6
Wednesday,(2022– ),,,"Comedy, Family, Fantasy",
Community,(2009–2015),TV-14,22 min,Comedy,8.5
Daredevil,(2015–2018),TV-MA,54 min,"Action, Crime, Drama",8.6
Blue Bloods,(2010– ),TV-14,43 min,"Crime, Drama, Mystery",7.7
Bee and PuppyCat,(2013– ),TV-PG,7 min,"Animation, Short, Action",8.2
Loving Adults,-2022,TV-MA,104 min,"Crime, Drama, Thriller",6.5
Schitt's Creek,(2015–2020),TV-14,22 min,Comedy,8.5
Sing 2,-2021,PG,110 min,"Animation, Adventure, Comedy",7.4
RRR,-2022,Not Rated,187 min,"Action, Drama",8
Arcane,(2021– ),TV-14,41 min,"Animation, Action, Adventure",9
The Lørenskog Disappearance,-2021,TV-MA,,"Documentary, Crime",6.1
The Lord of the Rings: The Two Towers,-2002,PG-13,179 min,"Action, Adventure, Drama",8.8
All Quiet on the Western Front,-2022,R,147 min,"Action, Drama, War",8.3
Mr. Harrigan's Phone,-2022,PG-13,104 min,Horror,
American Psycho,-2000,R,102 min,"Crime, Drama, Horror",7.6
The Hobbit: An Unexpected Journey,-2012,PG-13,169 min,"Adventure, Fantasy",7.8
Kleo,(2022– ),TV-MA,44 min,"Action, Crime, Drama",7.5
Riverdale,(2017– ),TV-14,45 min,"Crime, Drama, Mystery",6.6
Sons of Anarchy,(2008–2014),TV-MA,45 min,"Crime, Drama, Thriller",8.6
Mad Men,(2007–2015),TV-14,47 min,Drama,8.7
The Flash,(2014–2023),TV-PG,43 min,"Action, Adventure, Drama",7.6
Archer,(2009– ),TV-MA,22 min,"Animation, Action, Comedy",8.6
Dahmer - Monster: The Jeffrey Dahmer Story,-2022,TV-MA,534 min,"Biography, Crime, Drama",8.5
Mr. Robot,(2015–2019),TV-MA,49 min,"Crime, Drama, Thriller",8.6
That '70s Show,(1998–2006),TV-14,22 min,"Comedy, Drama, Romance",8.1
You,(2018– ),TV-MA,45 min,"Crime, Drama, Romance",7.7
Look Both Ways,-2022,TV-14,110 min,"Comedy, Drama, Romance",6.3
365 Days,-2020,TV-MA,114 min,"Drama, Romance",3.3
I Used to Be Famous,-2022,TV-14,104 min,"Comedy, Drama, Music",6.6
Titanic,-1997,PG-13,194 min,"Drama, Romance",7.9
Bridgerton,(2020– ),TV-MA,60 min,"Drama, History, Romance",7.3
Sherlock,(2010–2017),TV-14,88 min,"Crime, Drama, Mystery",9.1
Dexter,(2006–2013),TV-MA,53 min,"Crime, Drama, Mystery",8.7
New Girl,(2011–2018),TV-14,22 min,"Comedy, Romance",7.7
The Expanse,(2015–2022),TV-14,60 min,"Drama, Mystery, Sci-Fi",8.5
Purple Hearts,-2022,TV-14,122 min,"Drama, Music, Romance",6.7
The Gentlemen,-2019,R,113 min,"Action, Comedy, Crime",7.8
The Good Doctor,(2017– ),TV-14,41 min,Drama,8.1
Downton Abbey,(2010–2015),TV-PG,58 min,"Drama, Romance",8.7
Extraordinary Attorney Woo,-2022,TV-14,75 min,Drama,8.9
Smallville,(2001–2017),TV-PG,60 min,"Action, Adventure, Drama",7.5
Star Trek: The Next Generation,(1987–1994),TV-PG,44 min,"Action, Adventure, Sci-Fi",8.7
BoJack Horseman,(2014–2020),TV-MA,25 min,"Animation, Comedy, Drama",8.8
"Love, Death & Robots",(2019– ),TV-MA,15 min,"Animation, Short, Action",8.4
Money Heist,(2017–2021),TV-MA,70 min,"Action, Crime, Drama",8.2
Orange Is the New Black,(2013–2019),TV-MA,59 min,"Comedy, Crime, Drama",8.1
Jurassic Park,-1993,PG-13,127 min,"Action, Adventure, Sci-Fi",8.2
Prison Break,(2005–2017),TV-14,44 min,"Action, Crime, Drama",8.3
Billions,(2016– ),TV-MA,60 min,Drama,8.4
Once Upon a Time,(2011–2018),TV-PG,60 min,"Adventure, Fantasy, Romance",7.7
Titans,2018,TV-MA,45 min,"Action, Adventure, Crime",7.6
The 100,(2014–2020),TV-14,43 min,"Drama, Mystery, Sci-Fi",7.6
Jaws,-1975,PG,124 min,"Adventure, Thriller",8.1
The Catholic School,-2021,TV-MA,106 min,Drama,5.8
South Park,(1997– ),TV-14,22 min,"Animation, Comedy",8.7
Spartacus,(2010–2013),TV-MA,55 min,"Action, Adventure, Biography",8.5
Clueless,-1995,PG-13,97 min,"Comedy, Romance",6.9
Chesapeake Shores,(2016–2022),TV-PG,42 min,"Drama, Family",7.5
Demon Slayer: Kimetsu no Yaiba,(2019– ),TV-MA,24 min,"Animation, Action, Adventure",8.7
The Queen's Gambit,-2020,TV-MA,60 min,Drama,8.6
Pretty Little Liars,(2010–2017),TV-14,44 min,"Drama, Mystery, Romance",7.4
Mindhunter,(2017–2019),TV-MA,60 min,"Crime, Drama, Mystery",8.6
"Murder, She Wrote",(1984–1996),TV-PG,50 min,"Crime, Drama, Mystery",7.1
From,(2022– ),TV-MA,52 min,"Drama, Horror, Mystery",7.6
Spiderhead,-2022,R,106 min,"Action, Crime, Drama",5.4
CSI: Crime Scene Investigation,(2000–2015),TV-14,60 min,"Crime, Drama, Mystery",7.7
Evil,(2019– ),TV-14,42 min,"Crime, Drama, Horror",7.7
The Lincoln Lawyer,(2022– ),TV-MA,60 min,"Crime, Drama, Mystery",7.7
Arrested Development,(2003–2019),TV-14,22 min,Comedy,8.7
Heartland,2007,TV-PG,45 min,"Drama, Family",8.4
Mo,(2022– ),TV-MA,30 min,"Comedy, Drama",7.6
Inventing Anna,-2022,TV-MA,65 min,Drama,6.8
It,2017,R,135 min,Horror,7.3
Narcos,(2015–2017),TV-MA,49 min,"Biography, Crime, Drama",8.8
The Sinner,(2017–2021),TV-MA,45 min,"Crime, Drama, Mystery",7.9
Homeland,(2011–2020),TV-MA,55 min,"Crime, Drama, Mystery",8.3
The Haunting of Hill House,-2018,TV-MA,572 min,"Drama, Horror, Mystery",8.6
Doc Martin,(2004–2022),TV-14,46 min,"Comedy, Drama, Romance",8.4
Hawaii Five-0,(2010–2020),TV-14,42 min,"Action, Crime, Drama",7.4
Star Trek: The Original Series,(1966–1969),TV-PG,50 min,"Action, Adventure, Sci-Fi",8.4
The Next 365 Days,-2022,TV-MA,112 min,"Drama, Romance",2.7
Don't Look Up,-2021,R,138 min,"Comedy, Drama, Sci-Fi",7.2
Murdoch Mysteries,(2008– ),TV-PG,48 min,"Crime, Drama, Mystery",8.2
The Good Wife,(2009–2016),TV-14,43 min,"Crime, Drama, Mystery",8.4
Shadow and Bone,(2021– ),TV-14,60 min,"Action, Adventure, Drama",7.6
Sex/Life,(2021– ),TV-MA,45 min,"Comedy, Drama, Romance",5.4
Gladiator,-2000,R,155 min,"Action, Adventure, Drama",8.5
The Punisher,(2017–2019),TV-MA,53 min,"Action, Crime, Drama",8.5
Midnight Mass,-2021,TV-MA,450 min,"Drama, Fantasy, Horror",7.7
"Roswell, New Mexico",(2019–2022),TV-14,45 min,"Drama, Romance, Sci-Fi",6.2
Taxi Driver,-1976,R,114 min,"Crime, Drama",8.2
Teen Wolf,(2011–2017),TV-14,41 min,"Action, Drama, Fantasy",7.7
Vikings: Valhalla,(2022– ),TV-MA,51 min,"Action, Adventure, Drama",7.2
New Amsterdam,(2018– ),TV-14,43 min,Drama,8
Léon: The Professional,-1994,R,110 min,"Action, Crime, Drama",8.5
Arrow,(2012–2020),TV-14,42 min,"Action, Adventure, Crime",7.5
The Good Nurse,-2022,R,121 min,"Biography, Crime, Drama",7.8
The Good Place,(2016–2020),TV-PG,22 min,"Comedy, Drama, Fantasy",8.2
Agents of S.H.I.E.L.D.,(2013–2020),TV-PG,45 min,"Action, Adventure, Drama",7.5
Mother!,-2017,R,121 min,"Drama, Horror, Mystery",6.6
Hustle,-2022,R,117 min,"Comedy, Drama, Sport",7.3
Terim,(2022– ),TV-14,,"Documentary, Biography, Sport",7
365 Days: This Day,-2022,TV-MA,111 min,"Drama, Romance",2.6
Cheers,(1982–1993),TV-PG,22 min,"Comedy, Drama",7.9
Line of Duty,(2012–2021),TV-14,60 min,"Crime, Drama, Mystery",8.7
Pieces of Her,(2022– ),TV-MA,52 min,"Crime, Drama, Mystery",6.3
The Departed,-2006,R,151 min,"Crime, Drama, Thriller",8.5
Star Wars: The Clone Wars,(2008–2020),TV-PG,23 min,"Animation, Action, Adventure",8.4
Star Trek: Deep Space Nine,(1993–1999),TV-PG,45 min,"Action, Adventure, Drama",8.1
Spider-Man,-2002,PG-13,121 min,"Action, Adventure, Sci-Fi",7.4
Santo,(2022– ),TV-MA,45 min,"Action, Crime, Drama",5
Delhi Crime,(2019– ),TV-MA,50 min,"Crime, Drama",8.5
JoJo's Bizarre Adventure,(2012– ),TV-14,30 min,"Animation, Action, Adventure",8.4
House of Cards,(2013–2018),TV-MA,51 min,Drama,8.7
American Crime Story,(2016– ),TV-MA,42 min,"Biography, Crime, Drama",8.4
Beauty and the Beast,(I) (2017),PG,129 min,"Adventure, Family, Fantasy",7.1
Dynasty,(2017–2022),TV-14,42 min,Drama,7.2
Glee,(2009–2015),TV-PG,44 min,"Comedy, Drama, Music",6.8
Brooklyn,-2015,PG-13,117 min,"Drama, Romance",7.5
The Americans,(2013–2018),TV-MA,44 min,"Crime, Drama, Mystery",8.4
Gotham,(2014–2019),TV-14,42 min,"Action, Crime, Drama",7.8
Gossip Girl,(2007–2012),TV-14,42 min,"Drama, Romance",7.5
Gone Girl,-2014,R,149 min,"Drama, Mystery, Thriller",8.1
The Tudors,(2007–2010),TV-MA,60 min,"Drama, History, Romance",8.1
Twin Peaks,(1990–1991),TV-MA,47 min,"Crime, Drama, Mystery",8.8
The Poison Rose,-2019,R,98 min,"Crime, Mystery, Thriller",4.7
Avatar: The Last Airbender,(2005–2008),TV-Y7-FV,23 min,"Animation, Action, Adventure",9.3
Hannibal,(2013–2015),TV-14,44 min,"Crime, Drama, Horror",8.5
Star Trek: Voyager,(1995–2001),TV-PG,44 min,"Action, Adventure, Sci-Fi",7.8
NCIS: Los Angeles,(2009– ),TV-14,43 min,"Action, Crime, Drama",6.7
Persuasion,2022,PG,108 min,"Drama, Romance",5.7
Good Girls,(2018–2021),TV-14,43 min,"Comedy, Crime, Drama",7.7
Dated and Related,(2022– ),TV-MA,,Reality-TV,4.3
Jogi,-2022,TV-MA,116 min,"Drama, History, Thriller",7.5
How to Get Away with Murder,(2014–2020),TV-14,43 min,"Crime, Drama, Mystery",8.1
Uncoupled,(2022– ),TV-MA,30 min,"Comedy, Drama, Romance",7
Longmire,(2012–2017),TV-14,60 min,"Action, Crime, Drama",8.3
The Anthrax Attacks,-2022,TV-MA,94 min,"Documentary, Crime",6.2
White Collar,(2009–2014),TV-PG,40 min,"Comedy, Crime, Drama",8.3
White Noise,2022,,136 min,"Comedy, Drama, Horror",5.9
After Life,(2019–2022),TV-MA,30 min,"Comedy, Drama",8.4
Outer Banks,(2020– ),TV-MA,50 min,"Action, Crime, Drama",7.6
Luckiest Girl Alive,-2022,R,115 min,"Drama, Mystery, Thriller",
Derry Girls,(2018–2022),TV-MA,30 min,Comedy,8.5
El Camino: A Breaking Bad Movie,-2019,TV-MA,122 min,"Action, Crime, Drama",7.3
Anatomy of a Scandal,-2022,TV-MA,268 min,"Drama, Thriller",7
A Knight's Tale,-2001,PG-13,132 min,"Action, Adventure, Romance",6.9
The Munsters,-2022,PG,109 min,"Comedy, Family, Fantasy",
Baywatch,-2017,R,116 min,"Action, Comedy, Crime",5.5
Broad Peak,-2022,TV-MA,101 min,"Adventure, Biography, Drama",5.9
Grimm,(2011–2017),TV-14,45 min,"Crime, Drama, Fantasy",7.8
The Sea Beast,-2022,PG,115 min,"Animation, Adventure, Comedy",7.1
Operation Mincemeat,-2021,PG-13,128 min,"Drama, War",6.6
Alchemy of Souls,(2022– ),Approved,80 min,"Action, Drama, Fantasy",8.7
Chip 'n Dale: Rescue Rangers,-2022,PG,97 min,"Animation, Adventure, Comedy",7
Wedding Season,-2022,TV-PG,98 min,"Comedy, Romance",6.3
Black Sails,(2014–2017),TV-MA,56 min,"Action, Adventure, Drama",8.2
Knock Knock,2015,R,99 min,"Drama, Thriller",4.9
Elementary,(2012–2019),TV-14,60 min,"Crime, Drama, Mystery",7.9
13 Reasons Why,(2017–2020),TV-MA,60 min,"Drama, Mystery, Thriller",7.5
Maid,-2021,TV-MA,545 min,Drama,8.4
The King,2019,R,140 min,"Biography, Drama, History",7.3
The Adam Project,-2022,PG-13,106 min,"Action, Adventure, Comedy",6.7
Top Boy,(2011– ),TV-MA,60 min,"Crime, Drama, Thriller",8.4
Emily in Paris,(2020– ),TV-MA,30 min,"Comedy, Drama, Romance",6.9
Grease,-1978,PG,110 min,"Comedy, Musical, Romance",7.2
Sicario,-2015,R,121 min,"Action, Crime, Drama",7.6
The Devil All the Time,-2020,R,138 min,"Crime, Drama, Thriller",7.1
Little Women,(2022– ),TV-14,,"Action, Drama, Mystery",8.6
The Fall,2013,TV-MA,60 min,"Crime, Drama, Thriller",8.1
Elite,(2018– ),TV-MA,60 min,"Crime, Drama, Thriller",7.4
Legally Blonde,-2001,PG-13,96 min,"Comedy, Romance",6.4
2001: A Space Odyssey,-1968,G,149 min,"Adventure, Sci-Fi",8.3
The Little Things,-2021,R,128 min,"Crime, Drama, Mystery",6.3
The Guilty,-2021,R,90 min,"Crime, Drama, Thriller",6.3
Naruto,(2002–2007),TV-PG,24 min,"Animation, Action, Adventure",8.4
Broadchurch,(2013–2017),TV-MA,48 min,"Crime, Drama, Mystery",8.4
Scorpion,(2014–2018),TV-14,43 min,"Action, Crime, Drama",7
Spirited Away,-2001,PG,125 min,"Animation, Adventure, Family",8.6
Adventure Time,(2010–2018),TV-PG,11 min,"Animation, Action, Adventure",8.6
Dead to Me,(2019–2022),TV-MA,30 min,"Comedy, Crime, Drama",8
The Nice Guys,-2016,R,116 min,"Action, Comedy, Crime",7.3
Designated Survivor,(2016–2019),TV-14,60 min,"Action, Drama, Mystery",7.5
Dracula,-2020,TV-14,270 min,"Action, Drama, Fantasy",6.8
Narcos: Mexico,(2018–2021),TV-MA,50 min,"Crime, Drama",8.4
300,-2006,R,117 min,"Action, Drama",7.6
That's Amor,-2022,TV-14,96 min,"Comedy, Romance",5.2
Resident Evil,-2022,TV-MA,60 min,"Action, Horror, Sci-Fi",4
Ginny & Georgia,(2021– ),TV-14,,"Comedy, Drama",7.4
Grace and Frankie,(2015–2022),TV-MA,30 min,Comedy,8.2
The Man from Toronto,-2022,PG-13,110 min,"Action, Adventure, Comedy",5.8
Snowpiercer,(2020–2023),TV-MA,60 min,"Action, Drama, Sci-Fi",6.9
The Killing,(2011–2014),TV-14,45 min,"Crime, Drama, Mystery",8.3
The Power of the Dog,-2021,R,126 min,"Drama, Romance, Western",6.8
Baby Driver,-2017,R,113 min,"Action, Crime, Drama",7.6
The Haunting of Bly Manor,-2020,TV-MA,494 min,"Drama, Horror, Mystery",7.3
My Hero Academia,(2016– ),TV-14,24 min,"Animation, Action, Adventure",8.4
Arrival,2016,PG-13,116 min,"Drama, Mystery, Sci-Fi",7.9
Dead Poets Society,-1989,PG,128 min,"Comedy, Drama",8.1
The House,2022,TV-MA,97 min,"Animation, Comedy, Drama",6.8
Skins,(2007–2013),TV-MA,46 min,Drama,8.2
Bardo,-2022,R,174 min,"Comedy, Drama",6.7
Wendell & Wild,-2022,PG-13,105 min,"Animation, Adventure, Comedy",7.5
The Woman in the House,-2022,TV-MA,208 min,"Comedy, Crime, Drama",6.4
Kill Bill: Vol. 1,-2003,R,111 min,"Action, Crime, Drama",8.2
Behind Her Eyes,-2021,TV-MA,298 min,"Drama, Mystery, Thriller",7.2
Bleach,(2004–2012),TV-14,24 min,"Animation, Action, Adventure",8.2
Uncut Gems,-2019,R,135 min,"Crime, Drama, Thriller",7.4
Annihilation,2018,R,115 min,"Adventure, Drama, Horror",6.8
The Mummy,-2017,PG-13,110 min,"Action, Adventure, Fantasy",5.4
Orphan Black,(2013–2017),TV-MA,44 min,"Drama, Sci-Fi, Thriller",8.3
Altered Carbon,(2018–2020),TV-MA,60 min,"Action, Drama, Sci-Fi",7.9
Supergirl,(2015–2021),TV-PG,43 min,"Action, Adventure, Drama",6.2
Zero Dark Thirty,-2012,R,157 min,"Drama, History, Thriller",7.4
The Irishman,-2019,R,209 min,"Biography, Crime, Drama",7.8
Jurassic World: Fallen Kingdom,-2018,PG-13,128 min,"Action, Adventure, Sci-Fi",6.1
Big Mouth,(2017– ),TV-MA,30 min,"Animation, Comedy, Romance",7.9
Chilling Adventures of Sabrina,(2018–2020),TV-14,60 min,"Drama, Fantasy, Horror",7.4
Death Note,(2006–2007),TV-14,24 min,"Animation, Crime, Drama",9
Booksmart,-2019,R,102 min,Comedy,7.1
Heartbreak High,(1994–1999),TV-MA,50 min,"Drama, Romance",7.8
Untitled Super Mario Project,-2023,,,"Animation, Adventure, Comedy",
The End of the F***ing World,(2017–2019),TV-MA,25 min,"Adventure, Comedy, Crime",8.1
The Revenant,-2015,R,156 min,"Action, Adventure, Drama",8
Red Notice,-2021,PG-13,118 min,"Action, Comedy, Thriller",6.3
Jessica Jones,(2015–2019),TV-MA,56 min,"Action, Crime, Drama",7.9
Frozen,2013,PG,102 min,"Animation, Adventure, Comedy",7.4
Anne with an E,(2017–2019),TV-PG,60 min,"Drama, Family",8.7
Jane the Virgin,(2014–2019),TV-PG,60 min,Comedy,7.9
Incantation,-2022,TV-MA,110 min,"Horror, Mystery",6.2
Queen of the South,(2016–2021),TV-MA,42 min,"Action, Crime, Drama",8
Godless,-2017,TV-MA,452 min,"Action, Drama, Western",8.3
Fullmetal Alchemist: Brotherhood,(2009–2010),TV-14,24 min,"Animation, Action, Adventure",9.1
Ray Donovan,(2013–2020),TV-MA,60 min,"Crime, Drama",8.3
Wind River,-2017,R,107 min,"Crime, Drama, Mystery",7.7
Jumanji: The Next Level,-2019,PG-13,123 min,"Action, Adventure, Comedy",6.7
Fakes,(2022– ),TV-MA,30 min,Comedy,6.3
The IT Crowd,(2006–2013),TV-14,25 min,Comedy,8.5
DC's Legends of Tomorrow,(2016–2022),TV-14,42 min,"Action, Adventure, Drama",6.8
Heartstopper,(2022– ),TV-14,30 min,"Drama, Romance",8.7
Zodiac,-2007,R,157 min,"Crime, Drama, Mystery",7.7
Iron Fist,(2017–2018),TV-MA,55 min,"Action, Adventure, Crime",6.4
Merlí. Sapere Aude,(2019–2021),TV-MA,50 min,"Comedy, Drama",7.7
The Affair,(2014–2019),TV-MA,60 min,Drama,7.9
Unbelievable,-2019,TV-MA,385 min,"Crime, Drama",8.4
Enola Holmes,-2020,PG-13,123 min,"Action, Adventure, Crime",6.6
Pirates of the Caribbean: Dead Men Tell No Tales,-2017,PG-13,129 min,"Action, Adventure, Fantasy",6.5
Bates Motel,(2013–2017),TV-MA,45 min,"Drama, Horror, Mystery",8.1
Jujutsu Kaisen,(2020– ),TV-MA,24 min,"Animation, Action, Adventure",8.6
Star Trek: Enterprise,(2001–2005),TV-PG,60 min,"Action, Adventure, Drama",7.5
Run,2020,PG-13,90 min,"Mystery, Thriller",6.7
The Green Knight,-2021,R,130 min,"Adventure, Drama, Fantasy",6.6
All of Us Are Dead,(2022– ),TV-MA,60 min,"Action, Drama, Fantasy",7.5
Jumanji: Welcome to the Jungle,-2017,PG-13,119 min,"Action, Adventure, Comedy",6.9
"El Rey, Vicente Fernández",(2022– ),TV-14,52 min,"Biography, Drama, Music",6.4
Bodyguard,-2018,TV-MA,60 min,"Crime, Drama, Thriller",8.1
Luther,(2010–2019),TV-MA,60 min,"Crime, Drama, Mystery",8.4
That '90s Show,1990,TV-14,30 min,"Comedy, Drama, Romance",
Fauda,(2015– ),TV-MA,60 min,"Action, Drama, Thriller",8.2
Hubie Halloween,-2020,PG-13,103 min,"Comedy, Mystery",5.2
The Watcher,(2022– ),,,"Drama, Horror, Mystery",
Borgen,(2010–2022),TV-14,58 min,Drama,8.5
Marcella,(2016– ),TV-MA,45 min,"Crime, Drama, Mystery",7.4
Reign,(2013–2017),TV-14,42 min,Drama,7.4
Love Between Fairy and Devil,(2022– ),TV-PG,40 min,"Comedy, Fantasy, Romance",8.6
Amar,-2017,,105 min,"Drama, Romance",5.1
Freaks and Geeks,(1999–2000),TV-14,44 min,"Comedy, Drama",8.8
High Heat,(2022– ),TV-MA,45 min,Drama,5.9
Workin' Moms,(2017–2023),TV-MA,30 min,"Comedy, Drama",7.8
Poldark,(2015–2019),TV-14,60 min,"Drama, Romance",8.3
Penny Dreadful,(2014–2016),TV-MA,60 min,"Drama, Fantasy, Horror",8.2
Medici,(2016–2019),TV-14,60 min,"Biography, Drama, History",7.9
Your Name.,-2016,PG,106 min,"Animation, Drama, Fantasy",8.4
Venom,-2018,PG-13,112 min,"Action, Adventure, Sci-Fi",6.6
Californication,(2007–2014),TV-MA,28 min,"Comedy, Drama",8.3
The Platform,-2019,TV-MA,94 min,"Horror, Sci-Fi, Thriller",7
Interceptor,-2022,TV-MA,99 min,"Action, Adventure, Drama",4.5
Shadowhunters,(2016–2019),TV-14,42 min,"Action, Drama, Fantasy",6.5
Tropic Thunder,-2008,R,107 min,"Action, Comedy, War",7
Howl's Moving Castle,-2004,PG,119 min,"Animation, Adventure, Family",8.2
Beverly Hills Cop: Axel Foley,1984,,,"Action, Comedy, Crime",
iZombie,(2015–2019),TV-14,42 min,"Comedy, Crime, Drama",7.8
SPY×FAMILY,(2022– ),TV-14,24 min,"Animation, Action, Comedy",8.6
Fighting with My Family,-2019,PG-13,108 min,"Biography, Comedy, Drama",7.1
Captain America: Civil War,-2016,PG-13,147 min,"Action, Adventure, Sci-Fi",7.8
The Ranch,(2016–2020),TV-MA,30 min,"Comedy, Drama, Western",7.5
Will & Grace,(1998–2020),TV-14,22 min,"Comedy, Romance",7.3
I'm Thinking of Ending Things,-2020,R,134 min,"Drama, Thriller",6.6
The Wonder,-2022,R,103 min,"Drama, Mystery, Thriller",7.6
The Midnight Club,(2022– ),,,"Drama, Horror, Mystery",
Black Clover,(2017–2021),TV-PG,24 min,"Animation, Action, Adventure",8.3
Russian Doll,(2019– ),TV-MA,30 min,"Comedy, Drama, Mystery",7.8
Snowpiercer,-2013,R,126 min,"Action, Sci-Fi, Thriller",7.1
Below Deck Mediterranean,(2016– ),TV-14,43 min,Reality-TV,7.5
Lost in Space,(2018–2021),TV-PG,60 min,"Adventure, Drama, Family",7.3
The Forgotten Battle,-2020,TV-MA,124 min,"Drama, War",7.1
HollyBlood,-2022,,87 min,"Comedy, Fantasy, Horror",4.3
A Cinderella Story,-2004,PG,95 min,"Comedy, Family, Romance",5.9
6 Underground,-2019,R,128 min,"Action, Thriller",6.1
Happy Valley,(2014–2022),TV-MA,58 min,"Crime, Drama, Thriller",8.5
The Stranger,2020,TV-MA,363 min,"Crime, Drama, Mystery",7.3
Public Enemies,-2009,R,140 min,"Action, Biography, Crime",7
Sausage Party,-2016,R,89 min,"Animation, Adventure, Comedy",6.1
Revenge,(2011–2015),TV-14,44 min,"Drama, Mystery, Thriller",7.8
